tool_name,parameters,original_description
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        },
        ""accountId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Listaccounttrades"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Retrieve a list of the account's most recently executed trades.
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""accountId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        },
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Prepareoperation"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Prepare operation
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        },
        ""accountId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        },
        ""operationId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Signoperation"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Sign operation
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        },
        ""marketId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Getmarketorderbook"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}","Retrieve the orderbook for a given market.

## Response

Field | Type | Description
--- | --- | ---
result | Orderbook | The market orderbook.
result.bids | string[][] | The bid orders.
result.asks | string[][] | The ask orders.

Each item in the bids or asks arrays is an array describing a particular price with a size: [""(price)"", ""(size)""]."
TestingAPIwithinOrg,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""GenerateaUUID"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Generate an RFC 4122 v4 UUID.
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""credentialID"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Grantcredentialpermissions"",
        ""method"": ""PUT"",
        ""category"": ""Advertising""
    }
}","Grants the specified credential permissions. If the credential is not already associated with an identity it receives the identity of the credential that is used to make the call.

## Request

Field | Type | Description
--- | --- | ---
secret | string | The secret of the credential that the permissions are being set for.
passphrase | string | The passphrase of the credential that the permissions are being set for.
permissions | string | The policy describing the permissions the credential will have."
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        },
        ""marketId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Listmarkettrades"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}","Retrieve a list of historic trades for a given market. The last 200 trades are provided by default. If your use case requires more history, please contact developers@stronghold.co

## Response

Field | Type | Description
--- | --- | ---
result | Object | The latest historic trades.
result.marketId | string | The market's identifier.
result.trades | string[][] | The trades.

Each item in the trades array is an array describing a particular trade: [""(price)"", ""(size)"", ""(time)""]."
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""accountId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        },
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Getaccount"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}","Retrieve account information, including balances.

The result will contain the following information:
- **ID**: the account's identifier. Stronghold associates a protocol-agnostic identifier that is used in preference to the 'native' ID, such as a 'public address'.
- **Balances**: the account's balances. Asset information will be provided where possible."
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        },
        ""accountId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Requestdeposit"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","# Deposits and Withdrawals
Transactions are requested with `paymentMethodDetails` (details of the transaction, passed to Stronghold) and responses contain `paymentMethodInstructions` (instructions for the user, given by Stronghold) as follows:

## PaymentMethodDetails on Requests

Key | Description | Used In
--- | --- | ---
amount | The amount of the transaction as a string with a maximum of 7 decimal places | Withdrawals for all
withdrawal_address | The venue-specific address for the asset to be withdrawn to | Withdrawals for `bitcoin`, `litecoin`, `ethereum`, `stellar`, and `ripple`
reference | The venue-specific reference to be attached to the withdrawal | Withdrawals for `stellar` and `ripple`
bank_name | The name of the bank, e.g. 'JPMorgan Chase Bank N.A.' | Deposits for `us-ach` and withdrawals for `us-ach` and `us-wire`
bank_routing_number | The routing number of the bank account | Deposits for `us-ach` and withdrawals for `us-ach` and `us-wire`
bank_account_number | The account number of the bank account | Deposits for `us-ach` and withdrawals for `us-ach` and `us-wire`
bank_account_type | The type of bank account, either 'checking' or 'savings' | Deposits and withdrawals for `us-ach`

## PaymentMethodInstructions on Responses

Key | Description | Used In
--- | --- | ---
deposit_address | The venue-specific address that the asset should to be deposited into | Deposits for `bitcoin`, `litecoin`, `ethereum`, `stellar`, and `ripple`
reference | The venue-specific reference that must be attached to the deposit | Deposits for `stellar`, `ripple`, and `us-wire`
interledger_payment_pointer | The Interledger SPSP Payment Pointer used to receive streaming payments in a certain asset | Deposits for `ilp-spsp`
amount | The amount that must be sent for the deposit to succeed | Deposits for `us-wire`
recipient_name | The name of the recipient that the funds should be sent to | Deposits for `us-wire`
recipient_address | The address of the recipient that the funds should be sent to | Deposits for `us-wire`
bank_name | The name of the bank, e.g. 'JPMorgan Chase Bank N.A.' | Deposits for `us-wire`
bank_routing_number | The routing number of the bank account | Deposits for `us-wire`
bank_account_number | The account number of the bank account | Deposits for `us-wire`
bank_swift_code | The SWIFT code to use where the wire is being sent internationally | Deposits for `us-wire`

## Notes

- For `us-ach` and `us-wire`, the name on the bank account must match the name on the entity's Stronghold account.
- `us-ach` deposits take a variable amount of time to be credited to a Stronghold account. Please contact us for more information on the timings for your particular use case.
- The entity must have completed the account verification to use all payment methods with the exception of `ilp-spsp`.

## Request

Field | Type | Description
--- | --- | ---
assetId | string | The identifier of the asset to deposit.
paymentMethod | string | The payment method for the deposit.
paymentMethodDetails | key-value string pairs | (Optional) If required for the deposit method, the details of the deposit.

## Response

Field | Type | Description
--- | --- | ---
result | AccountTransaction | The account transaction. A transaction may not necessarily been created (as seen by the absence of an identifier) but the payment method instructions can be followed to initiate the deposit."
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Fundaccount"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Fund account
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Directwithdrawal"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","Withdrawal allows customers to directly withdraw anchored funds from a non-Stronghold account.

The payment method details must describe a payout made to an account owned by the customer. Using withdrawal to send funds to other beneficiaries will result in failure."
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""credentialID"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The identifier of the credential to revoke."",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Revokecredential"",
        ""method"": ""DELETE"",
        ""category"": ""Advertising""
    }
}","Revoke a credential, rendering it useless for API access purposes. The request can be signed with any authorized credential, including the credential that is being revoked (i.e. a credential can sign the request to revoke itself)."
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""accountId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        },
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Getaccountorders"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Retrieve the open orders for an account.
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""accountId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        },
        ""orderId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        },
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Deleteaccountorder"",
        ""method"": ""DELETE"",
        ""category"": ""Advertising""
    }
}",Delete an order for an account.
TestingAPIwithinOrg,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""Getavailablevenues"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}","Retrieve the venues the credential has access to.

Each venue describes its:
- **capabilities**: as each venue differs in protocol and context, not all Platform APIs are supported on all venues. The capabilities object describes which operations can be performed.
- **attributes**: protocol/context-specific key-value pairs."
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""accountId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        },
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Getaccounttransactions"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}","## Response

Field | Type | Description
--- | --- | ---
result | AccountTransaction[] | The account's transactions."
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""venueID"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Createcustody-enabledaccount"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","Create a new account in the specified venue that is available for use with the custody APIs. Account initializations may or may not be immeadiately performed (e.g. funding an account's reserve on Ripple or Stellar).

## Response

Field | Type | Description
--- | --- | ---
result | Custody Account | The newly created account."
TestingAPIwithinOrg,"{
    ""parameters"": {
        ""venueId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        },
        ""accountId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": """",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""Requestwithdrawal"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","## Request

Field | Type | Description
--- | --- | ---
assetId | string | The identifier of the asset to withdraw.
paymentMethod | string | The payment method requested for the withdrawal.
paymentMethodDetails | key-value string pairs | (Optional) If required for the withdrawal method, the details of the withdrawal.

## Response

Field | Type | Description
--- | --- | ---
result | AccountTransaction | The account transaction for the withdrawal."
ThisisaPublicAPI_v2,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to return""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getPetById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a single pet
ThisisaPublicAPI_v2,"{
    ""parameters"": {
        ""orderId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be fetched""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getOrderById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",For valid response try integer IDs with value >= 1 and <= 10. Other values will generated exceptions
ThisisaPublicAPI_v2,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""getInventory"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a map of status codes to quantities
ThisisaPublicAPI_v2,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""logoutUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",
ThisisaPublicAPI_v2,"{
    ""parameters"": {
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The user name for login""
        },
        ""password"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The password for login in clear text""
        }
    },
    ""metadata"": {
        ""endpoint"": ""loginUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",
ThisisaPublicAPI_v2,"{
    ""parameters"": {
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The name that needs to be fetched. Use user1 for testing. ""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getUserByName"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",
ThisisaPublicAPI,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""addPet"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Add a new pet to the store
ThisisaPublicAPI,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to update"",
            ""default"": 0
        }
    },
    ""metadata"": {
        ""endpoint"": ""uploadFile"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",uploads an image
ThisisaPublicAPI,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithListInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Creates list of users with given input array
ThisisaPublicAPI,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUser"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",This can only be done by the logged in user.
ThisisaPublicAPI,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""placeOrder"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Place an order for a pet
ThisisaPublicAPI,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithArrayInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Creates list of users with given input array
ThisisaPublicAPI,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be updated"",
            ""default"": 0
        },
        ""status"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated status of the pet"",
            ""default"": ""string""
        },
        ""name"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated name of the pet"",
            ""default"": ""string""
        }
    },
    ""metadata"": {
        ""endpoint"": ""updatePetWithForm"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Updates a pet in the store with form data
ThisshouldbeFREE,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to return""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getPetById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a single pet
ThisshouldbeFREE,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""logoutUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",
ThisshouldbeFREE,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""getInventory"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",Returns a map of status codes to quantities
ThisshouldbeFREE,"{
    ""parameters"": {
        ""password"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The password for login in clear text""
        },
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The user name for login""
        }
    },
    ""metadata"": {
        ""endpoint"": ""loginUser"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",
ThisshouldbeFREE,"{
    ""parameters"": {
        ""username"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The name that needs to be fetched. Use user1 for testing. ""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getUserByName"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",
ThisshouldbeFREE,"{
    ""parameters"": {
        ""orderId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be fetched""
        }
    },
    ""metadata"": {
        ""endpoint"": ""getOrderById"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}",For valid response try integer IDs with value >= 1 and <= 10. Other values will generated exceptions
ThisshouldbeFREE,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""addPet"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
ThisshouldbeFREE,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet to update""
        }
    },
    ""metadata"": {
        ""endpoint"": ""uploadFile"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
ThisshouldbeFREE,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""placeOrder"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
ThisshouldbeFREE,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithArrayInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
ThisshouldbeFREE,"{
    ""parameters"": {
        ""petId"": {
            ""type"": ""number"",
            ""required"": true,
            ""description"": ""ID of pet that needs to be updated""
        },
        ""name"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated name of the pet""
        },
        ""status"": {
            ""type"": ""string"",
            ""required"": false,
            ""description"": ""Updated status of the pet""
        }
    },
    ""metadata"": {
        ""endpoint"": ""updatePetWithForm"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
ThisshouldbeFREE,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUsersWithListInput"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",
ThisshouldbeFREE,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""createUser"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",This can only be done by the logged in user.
